ID;title;production_year
1044;Luna de verano;1990
1045;Luz roja;1995
1046;Lápiz y papel;1981
1047;Línea 900;1991
1048;Línea de América;1993
1049;Lúa nova;1986
1050;Madrid directo;1993
1051;Mag magazine;1988
1052;Magacine;1996
1053;Magia potagia;1988
1054;Magia, humor y fantasía;1994
1055;Maite - La serie;1998
1056;Makinavaja;1995
1057;Malalts de tele;1997
1058;Mamma mía;1999
1059;Mamá quiere ser artista;1997
1060;Mando a distancia;1989
1061;Mano a mano;1981
1062;Manos a la obra;1997
1063;Mar a mar;1991
1064;Mar de dudas;1995
1065;Maravillas 10 y pico;1996
1066;Mare i fill, societat limitada;1980
1067;Mareas vivas;1998
1068;Maridos y mujeres;1997
1069;Marie-Galante;1992
1070;Marielena;1994
1071;Maroons, Journey of the Castaways;1998
1072;Maroons: La ruta de los Naufragos;1999
1073;Marta sempre, Marta tothora;1984
1074;Matraca no!;1989
1075;Mayor y menor;1990
1076;Mayores sin reparos;1997
1077;Mañana serán estrellas;1993
1078;Mañanas de primera;1996
1079;Me alquilo para soñar;1992
1080;Me lo dijo Pérez;1999
1081;Mecanoscrit del segon origen;1985
1082;Media naranja;1986
1083;Mediterráneo;1999
1084;Megahit;1997
1085;Memorias del cine español;1978
1086;Menos lobos;1992
1087;Menudas estrellas;1995
1088;Menudo es mi padre;1996
1089;Menudo show;1995
1090;Mesa de redacción;1993
1091;Mesa reservada;1988
1092;Metrópolis;1985
1093;Mi no comprender;1977
1094;Mi querida España;1994
1095;Miguel Servet, la sangre y la ceniza;1988
1096;Mikimoto club;1989
1097;Mil paraules;1991
1098;Milagro en casa de los López;1997
1099;Millennium;1996
1100;Mimi and Mr. Bobo;1999
1101;Mino;1986
1102;Mira 2;1991
1103;Mira quen vén;1990
1104;Mira quien viene esta noche;1997
1105;Mirador de los deportes;1980
1106;Miralls;1999
1107;Miramar;1977
1108;Mis terrores favoritos;1981
1109;Mission Top Secret;1994
1110;Misteri;1983
1111;Misterios sin resolver;1993
1112;Mitomanía;1995
1113;Modelo para armar;1997
1114;Moderato cantabile;1992
1115;Mofli, el último koala;1986
1116;Molt personal;1992
1117;Molt personal;1999
1118;Moltes gràcies;1993
1119;Momentos;1986
1120;Moros y cristianos;1997
1121;Mortadelo y Filemón;1994
1122;Mucha marcha;1996
1123;Muerte a destiempo;1990
1124;Mujeres en la historia;1995
1125;Mujeres insólitas;1977
1126;Mundo noche;1978
1127;Musical express;1980
1128;Musical popular, cita con;1980
1129;Musiqueando;1977
1130;Musiquísimos;1987
1131;Muy personal;1987
1132;Máis alá;1986
1133;Máis Ozono;1990
1134;Más allá;1976
1135;Más estrellas que en el cielo;1988
1136;Más madera;1998
1137;Más que amigos;1997
1138;Más que palabras;1995
1139;Más vale prevenir;1979
1140;Médico de familia;1995
1141;Mírame;1999
1142;Mójate;1995
1143;Móntatelo;1994
1144;Música sí;1997
1145;Música y estrellas;1976
1146;Música, maestro;1981
1147;Na casa en domingo;1993
1148;Na casa;1992
1149;Nada es para siempre;1999
1150;Nadie es perfecto;1995
1151;Narradores;1991
1152;Nazca;1990
1153;Negro sobre blanco;1997
1154;Neu pols;1999
1155;Ni a tontas, ni a locas;1989
1156;Ni contigo ni sin tí;1998
1157;Ni en vivo ni en directo;1983
1158;Ninette y un señor de Murcia;1984
1159;Nissaga de poder;1996
1160;Nissaga lherència;1999
1161;Nit darts;1998
1162;Nit en blanc;1999
1163;No me cortes;1993
1164;No me lo puedo creer;1994
1165;No passa res!;1987
1166;No sé bailar;1992
1167;No sé què em passa;1994
1168;No te lo pierdas;1990
1169;No te olvides el cepillo de dientes;1995
1170;No te rías, que es peor;1990
1171;No veas;1997
1172;Noche de coplas;1998
1173;Noche de fiesta;1999
1174;Noche de impacto;1998
1175;Noche de lobos;1991
1176;Noche espectacular;1994
1177;Noche, noche;1993
1178;Noches de gala;1993
1179;Noite de estrelas;1989
1180;Noite espectacular;1993
1181;Nosolomúsica;1999
1182;Nosotros;1982
1183;Nostromo;1997
1184;Nova ficció;1996
1185;Novel·la;1979
1186;Nuestra Europa;1989
1187;Nuestra semana;1986
1188;Nunca es tarde;1984
1189;Nunca es tarde;1995
1190;Nunca se sabe;1986
1191;Néixer és cosa de tres;1996
1192;Número 1;1987
1193;Número uno;1995
1194;Números rojos;1999
1195;O campo de atrás;1987
1196;O mellor;1986
1197;O noso agro;1989
1198;O noso mar;1995
1199;O que vai vir;1992
1200;O semanal;1995
1201;O veciño dos xoves;1987
1202;Objetivo indiscreto;1992
1203;Objetivo nosotros;1975
1204;Objetivo;1981
1205;Oceano;1989
1206;Ocúpate de Amelia;1984
1207;Oh! Europa;1994
1208;Oh, Bongònia!;1987
1209;Oh, Espanya!;1996
1210;Oliana Molls i lastàleg de bronze;1985
1211;Olé tus videos;1991
1212;Opinión pública;1978
1213;Orden especial;1992
1214;Os outros feirantes;1989
1215;Osados;1997
1216;Oscamandit;1988
1217;Otras cosas;1981
1218;Otros pueblos;1983
1219;Paisajes con figuras;1976
1220;Palmarés;1976
1221;Panorama de actualidad;1998
1222;Para comerte mejor;1989
1223;Para Elisa;1993
1224;Para entendernos;1997
1225;Para toda la vida;1999
1226;Para tí... con Jacqueline de la Vega;1992
1227;Paral·lel;1997
1228;Paraísos cercanos;1997
1229;Parece mentira;1998
1230;Pares i fills;1994
1231;Parlamento;1980
1232;Parlamento;1985
1233;Partido contra la droga 1997;1997
1234;Pasa la vida;1991
1235;Pasacalle;1989
1236;Pasarela de estrelas;1995
1237;Pasen y Vean;1997
1238;Pasiño a pasiño;1993
1239;Patos y ocas;1981
1240;Patosos entre rejas;1998
1241;PC adictos;1997
1242;Pedralbes Centre;1995
1243;Pedro I, el Cruel;1989
1244;Peligrosamente juntas;1992
1245;Pelotas fuera;1996
1246;Pensando en ti;1991
1247;Pensión el patio;1989
1248;Pepa y Pepe;1995
1249;Pepe Carvalho;1999
1250;Peque prix;1998
1251;Per molts anys;1983
1252;Perdona nuestros pecados;1998
1253;Perdóname;1994
1254;Perfiles andaluces;1989
1255;Perfiles;1979
1256;Periodistas;1998
1257;Pero ¿esto qué es?;1989
1258;Personal i intransferible;1991
1259;Personatges;1977
1260;Persones humanes;1993
1261;Petra Delicado;1999
1262;Pili, secretaria ideal;1975
1263;Pin plus;1998
1264;Pinnic;1992
1265;Pista libre;1982
1266;Planeta de movidas;1994
1267;Planeta imaginari;1983
1268;Planta baja;1986
1269;Platos rotos;1985
1270;Plats bruts;1999
1271;Plató vacío;1986
1272;Plaza Alta;1998
1273;Pleitaguensam;1984
1274;Pluja destrelles;1993
1275;Plumier;1986
1276;Plàstic;1989
1277;Poble Nou;1994
1278;Polar;1999
1279;Polvo de estrellas;1990
1280;Polèmic;1992
1281;Ponte las pilas;1991
1282;Pop que;1984
1283;Pop-pop;1989
1284;Popgrama;1977
1285;Por arte de magia;1981
1286;Por fin solos;1995
1287;Por fin viernes;1989
1288;Por hablar que no quede;1995
1289;Por la escuadra;1999
1290;Por la mañana;1987
1291;Por los caminos del folklore;1976
1292;Por tierras lejanas;1981
1293;Por un puñado de euros;1999
1294;Portoverán;1989
1295;Positrón;1987
1296;Pratos combinados;1995
1297;Preescolar na casa;1990
1298;Preguntas y respuestas;1995
1299;Preparando ¿Qué apostamos?;1996
1300;Primer pla;1996
1301;Primer plano;1990
1302;Primera función;1989
1303;Primero izquierda;1991
1304;Prismas;1990
1305;Problem Child;1993
1306;Proceso a Mariana Pineda;1984
1307;Professor Poopsnagles Steam Zeppelin;1986
1308;Programa más o menos multiplicado o dividido;1996
1309;Prêt-à-porter;1993
1310;Próximamente;1982
1311;Puerta a la fama;1996
1312;Puerta con puerta;1999
1313;Puesta a punto;1983
1314;Punto de encuentro;1985
1315;Punto y aparte;1985
1316;Página de sucesos;1985
1317;Página del domingo;1975
1318;Páginas ocultas de la historia;1999
1319;Pájaro en una tormenta;1989
1320;Póker de damas;1999
1321;Quart segona;1991
1322;Que no decaiga;1995
1323;Que sabe nadie;1990
1324;Que usted lo mate bien;1979
1325;Queremos saber;1992
1326;Querida Carmen;1997
1327;Querida Concha;1992
1328;Querida familia;1995
1329;Querido cabaret;1990
1330;Querido maestro;1997
1331;Querido Pirulí;1988
1332;Queridos cómicos;1992
1333;Queridos padres;1992
1334;Qui ho diria!;1996
1335;Qui?;1990
1336;Quico;1992
1337;Quitxalla;1979
1338;Quién con quién;1999
1339;Quién da la vez;1995
1340;Quién sabe dónde;1992
1341;Quiéreme mucho;1992
1342;Quo Vadis?;1985
1343;Qué foi de...;1999
1344;Qué gente tan divertida;1991
1345;Qué loca peluquería;1996
1346;Qué memoria la mía;1996
1347;Qué pasó con;1995
1348;Quítate tú pa ponerme yo;1998
1349;Ramón y Cajal;1982
1350;Rasgos;1982
1351;Recordar, peligro de muerte;1986
1352;Recuerda cuándo;1987
1353;Redacción noche;1976
1354;Redacción;1990
1355;Redes;1996
1356;Reestreno;1982
1357;Refrescante 95;1995
1358;Refrito;1981
1359;Reporteiros;1996
1360;Retransmisión de Roland Garros;1990
1361;Retrat de dona;1982
1362;Retrato en vivo;1979
1363;Revistero;1975
1364;Ricos y famosos;1990
1365;Risas y estrellas;1997
1366;Roba neta, roba bruta;1986
1367;Rockambole;1989
1368;Rockopop;1988
1369;Rompecocos;1996
1370;Rosa;1995
1371;Rosa, la lluita;1996
1372;Rosa, punt i a part;1996
1373;Ruada;1985
1374;Ruta Quetzal;1993
1375;Ruy, el pequeño Cid;1980
1376;Ruïna total;1992
1377;Régimen abierto;1986
1378;Réquiem por Granada;1991
1379;S.O.S.;1988
1380;Sabadabada;1981
1381;Saber e xogar;1985
1382;Saber vivir;1997
1383;Saber y ganar;1997
1384;Sabor a Lolas;1992
1385;Sabor a ti;1991
1386;Sabor a tí;1998
1387;Sabor a verano;1999
1388;Sagas;1999
1389;Salsa verde;1996
1390;Sandokan;1992
1391;Saque bola;1989
1392;Sara y Punto;1990
1393;Se acabó la siesta;1992
1394;Se busca una estrella;1992
1395;Se busca;1995
1396;Secret Valley;1980
1397;Secretos de familia;1994
1398;Secretos de Hollywood;1999
1399;Secrets de família;1995
1400;Segunda enseñanza;1986
1401;Segundos fuera;1986
1402;Senda verde;1995
1403;Senderos de gloria;1999
1404;Sense títol 2;1996
1405;Sense títol amb Andreu Buenafuente;1995
1406;Sense títol, s/n;1998
1407;Serie negra;1994
1408;Setciències;1996
1409;Señales de identidad;1994
1410;Señor Alcalde;1998
1411;Si lencerto, lendevino;1995
1412;Si lo sé no vengo;1985
1413;Si yo fuera presidente;1983
1414;Sigue, sigue Plàstic;1991
1415;Silencio, se juega;1984
1416;Simplemente Mayra;1990
1417;Sin fronteras;1995
1418;Sin ir más lejos;1995
1419;Sin límites;1998
1420;Sin vergüenza;1992
1421;Sinceramente Ana Rosa Quintana;1997
1422;Sinceramente tuyo;1994
1423;Sitges;1996
1424;Sitio distinto;1990
1425;Situación de emergencia;1997
1426;Sketchup;1999
1427;Societat anònima;1998
1428;Sol destiu;1997
1429;Sola en la ciudad;1997
1430;Solvència contrastada;1996
1431;Som 1 meravella;1988
1432;Som-hi!;1983
1433;Sonatas;1983
1434;Sonrisas de España;1996
1435;Sonría, por favor;1996
1436;Sopa de gansos;1989
1437;Sorpresa, ¡Sorpresa!;1996
1438;Sota el signe de...;1999
1439;Spot TV;1997
1440;Sputnik;1989
1441;Story of O, the Series;1992
1442;Su media naranja;1990
1443;Su turno;1981
1444;Sucedió en Madrid;1993
1445;Suena la copla;1996
1446;Sumarísimo;1978
1447;Supercampió;1997
1448;Superguay;1991
1449;Supermarket;1992
1450;Supermartes;1992
1451;Superstar;1984
1452;Surti com surti;1997
1453;Sábado cine;1977
1454;Sábado noche;1987
1455;Sábado revista;1989
1456;Sí o què?;1994
1457;Sóc com sóc;1990
1458;Sólo goles;1994
1459;Sólo para mujeres;1997
1460;Súper juego;1992
1461;Ta tocao;1994
1462;Tablón de anuncios;1984
1463;Tal como somos;1990
1464;Tal como somos;1995
1465;Tal como somos;1996
1466;Tal como éramos;1998
1467;Tal cual;1988
1468;Tal cual;1992
1469;Taller de comèdies;1975
1470;Taller mecánico;1991
1471;Tan contentos;1991
1472;Tango;1992
1473;Tango;1997
1474;Tarde de teatro;1986
1475;Tarde Taina;1990
1476;Tardes con Ana;1998
1477;Tardes con Teresa;1994
1478;Tardes de verán;1998
1479;Tariro, tariro;1988
1480;Taxi;1994
1481;Teatre per a nois i noies;1983
1482;Teatro Club;1976
1483;Teatro estudio;1977
1484;Tele 5 ¿dígame?;1990
1485;Tele risa;1997
1486;Telebuten;1994
1487;Telecupón;1990
1488;Telegaseta de Catalunya;1984
1489;Telenoticias;1988
1490;Telepasión española;1990
1491;Teletienda;1990
1492;Telexornal;1985
1493;Temps de neu;1986
1494;Tendido cero;1986
1495;Tercera planta, inspección fiscal;1991
1496;Terenci a la fresca;1981
1497;Teresa de Jesús;1984
1498;Teresina, S.A.;1992
1499;Terra descudella;1976
1500;Tertulia con;1981
1501;Testigo directo;1994
1502;Teta;1987
1503;Thats English;1993
1504;The Buried Mirror;1994
1505;The Cobi Troupe;1992
1506;The Legend of Calamity Jane;1997
1507;The Three Bears;1999
1508;The Untouchables of Elliot Mouse;1996
1509;Tiempo de magia;1976
1510;Tiempo libre;1978
1511;Tiempos difíciles;1994
1512;Tierra, trágame;1999
1513;Tio Willy;1998
1514;Tocao del ala;1997
1515;Tocata;1983
1516;Todo basquet;1988
1517;Todo en familia;1999
1518;Todo motor;1989
1519;Todo nieve;1999
1520;Todo por la pasta;1993
1521;Todo queda en casa;1986
1522;Todo va bien;1993
1523;Todos a bordo;1998
1524;Todos los hombres sois iguales;1996
1525;Todos somos humanos;1996
1526;Toma nota;1998
1527;Tomates y pimientos;1999
1528;Tommy & Oscar;1999
1529;Toni Rovira y tú;1999
1530;Torneo;1976
1531;Tot i més;1982
1532;Tot per laudiència;1994
1533;Tot queda en família;1986
1534;Tot un senyor;1989
1535;TPH Club;1999
1536;Tras 3 tris;1994
1537;Trato hecho;1999
1538;Trazos;1977
1539;Tren de cercanías;1995
1540;Tres arquitecturas;1990
1541;Tres estrelles;1987
1542;Tres hijos para mí solo;1995
1543;Tres i lastròleg;1984
1544;Tres más una;1989
1545;Tres pics i repicó;1988
1546;Tres por catro;1987
1547;Tres senyores i un senyor;1993
1548;Tribuna internacional;1979
1549;Tribunal popular;1989
1550;Trilocos;1999
1551;Tripijocs;1984
1552;Tristeza de amor;1986
1553;Truhanes;1993
1554;Tskhovreba Don Kikhotisa da Sancho Panchosi;1988
1555;Turno de oficio;1986
1556;Turno de oficio: Diez años después;1996
1557;Tutti frutti;1990
1558;Téquele téquele;1997
1559;Tómbola;1997
1560;Un cesto lleno de libros;1989
1561;Un dia és un dia;1990
1562;Un día volveré;1993
1563;Un encargo original;1983
1564;Un jardinero en tu casa;1992
1565;Un menú de 7 estrellas;1998
1566;Un millán de cosas;1998
1567;Un millón de gracias;1995
1568;Un momento por favor;1994
1569;Un mundo para ellos;1979
1570;Un paseo por el tiempo;1995
1571;Un país de locos;1990
1572;Un país de sagitario;1985
1573;Un país en la mochila;1995
1574;Un país maravilloso;1999
1575;Un siglo de canciones;1999
1576;Un tomb per la vida;1993
1577;Una de dos;1998
1578;Una de tres;1994
1579;Una gloria nacional;1993
1580;Una hija más;1991
1581;Una història particular;1986
1582;Una nit amb Vittorio Gassman;1995
1583;Una pareja feliz;1994
1584;Una parella al vostre gust;1985
1585;Unha de romanos;1991
1586;Unisex;1994
1587;Uno más en la familia;1995
1588;Uno para todas;1995
1589;Usted, por ejemplo;1982
1590;Valor y coraje;1993
1591;Vamos a ver;1981
1592;Vaya fauna;1992
1593;Vaya lío;1997
1594;Vaya nochecita;1995
1595;Vaya tele;1994
1596;Vecinos;1994
1597;Velaí;1989
1598;Ven al Paralelo;1992
1599;Ven con nosotros;1995
1600;Venres show;1987
1601;Ver para creer;1999
1602;Veraneando;1993
1603;Veraneantes;1984
1604;Verano 830 pm magazine;1986
1605;Verano 90;1990
1606;Verano azul;1981
1607;Verano, verano;1999
1608;Verdad o mentira;1982
1609;Verde que te quiero verde;1995
1610;Veredicto;1994
1611;Versió directa;1991
1612;Versión española;1998
1613;Verán de estrelas;1992
1614;Via de estrellas;1999
1615;Viaje alrededor del cine español;1996
1616;Viaje con nosotros;1988
1617;Vida privada;1987
1618;Vida y sainete;1998
1619;Vides privades;1996
1620;Viento, madera y barro;1984
1621;Villa Rosaura;1994
1622;Villarriba y Villabajo;1994
1623;Vindrem a sopar;1990
1624;Vip Guay;1990
1625;VIP noche;1990
1626;Visións;1987
1627;Visperas;1987
1628;Visto y no visto;1982
1629;Viva el espectáculo;1990
1630;Viva la banda;1996
1631;Viva la ciencia;1990
1632;Viva la vida;1991
1633;Viva o domingo;1987
1634;Vivan los compis;1992
1635;Vivan los novios;1991
1636;Vive el verano;1999
1637;Vivi-lo mar;1995
1638;Vivir aquí;1988
1639;Vivir cada día;1978
1640;Vivir para ver;1977
1641;Vivir, vivir... que bonito;1992
1642;Viéndonos;1992
1643;Voces a 45;1975
1644;Voces sin voz;1981
1645;Vostede decide;1993
1646;Vostè jutja;1985
1647;Vostè mateix;1993
1648;Vostè pregunta;1977
1649;Vox populi;1994
1650;Vuelta y vuelta;1996
1651;Vértigo;1999
1652;Vídeos de primera;1990
1653;Vídua, però no gaire;1982
1654;Waku waku;1989
1655;Willy Fog 2;1993
1656;Xabarín Club TVG;1994
1657;Xat.TV;1999
1658;Xente nosa;1987
1659;Xifres i lletres;1998
1660;XII FIFA World Cup 1982;1982
1661;Xogando coas letras;1992
1662;Xooof!;1994
1663;Xuxa Park;1992
1664;Y ahora Encarna;1990
1665;Y sin embargo, te quiero;1983
1666;Ya empezamos;1997
1667;Ya semos europeos;1989
1668;Ya sé que tienes novio;1985
1669;Yo canto;1977
1670;Yo robo, tú chantajeas, ella estafa y además un muerto;1984
1671;Yo, una mujer;1996
1672;Yolanda: Daughter of the Black Corsair;1999
1673;Zigag diario;1995
1674;Zip zap;1997
1675;Zip-zap. La guía;1989
1676;Zon@7;1998
1677;Zona ACB;1993
1678;Zona de juego;1993
1679;Zona franca;1995
1680;¡Ay, Señor, Señor!;1994
1681;¡Clip, clip, ¡hurra!;1994
1682;¡Hola Raffaella!;1992
1683;¡Hola, mamá, soy yo!;1998
1684;¡Qué grande es el cine!;1995
1685;¡Qué grande es el teatro!;1999
1686;¡Qué me dices!;1995
1687;¡Qué noche la de aquel año!;1987
1688;¡Qué punto!;1999
1689;¡Vaya diablillos!;1995
1690;¡Vaya día!;1995
1691;¿Cómo lo hacen?;1994
1692;¿Cómo lo veis?;1994
1693;¿De parte de quién?;1993
1694;¿De qué parte estás?;1994
1695;¿Dónde se esconde Carmen Sandiego?;1995
1696;¿Para qué sirve un marido?;1997
1697;¿Quiere ser millonario?;1999
1698;¿Quién es quién?;1999
1699;¿Quién es?;1976
1700;¿Qué apostamos?;1993
1701;¿Qué pintamos aquí?;1985
1702;¿Se puede?;1993
1703;¿Un mundo feliz?;1981
1704;¿Y quién es él?;1994
1705;¿Y tú bailas?;1998
1706;¿Y tú de qué vas?;1993
1707;Àgora;1999
1708;Àngel Casas show;1984
1709;Àngels de nit;1996
1710;Á mañá;1994
1711;Ágora agora;1994
1712;Érase una vez la tele;1996
1713;Éste es mi barrio;1996
1714;Ímolo ver;1994
1715;Última frontera;1983
1716;Última hora;1977
1717;Últimas preguntas;1989
1718;Non, ou A Vã Glória de Mandar;1990
1719;O de amor;1995
1720;...del Flaubert que leíste un día gris;1997
1721;...Que ciento volando;1995
1722;...Y al tercer año, resucitó;1980
1723;100 aviones de papel;1987
1724;100% cubano;1993
1725;1002;1992
1726;127 millones libres de impuestos;1981
1727;1492: Conquest of Paradise;1992
1728;1891 voltios, cariño;1999
1729;1919, crónica del alba;1983
1730;2.0;1998
1731;2.30 A.M.;1988
1732;240;1998
1733;26 grados a la sombra;1997
1734;27 horas;1986
1735;40 ezetz;1999
1736;7 cabalgan hacia la muerte;1979
1737;7 calles;1981
1738;7 morts sur ordonnance;1975
1739;8 (Infinito);1998
1740;8, 9 y 10;1999
1741;98m/s²;1998
1742;99.9;1997
1743;A Business Affair;1994
1744;A ciegas;1997
1745;A contratiempo;1982
1746;A deshoras;1994
1747;A Further Gesture;1997
1748;A Grande viaxe;1996
1749;A Hora do té;1996
1750;A Ilha;1990
1751;A kien pueda interesar;1986
1752;A lombra del Kilimanjaro. La sabana equatorial;1985
1753;A la altura de los ojos;1988
1754;A la legión le gustan las mujeres... y a las mujeres, les gusta la legión;1976
1755;A la pálida luz de la luna;1985
1756;A los cuatro vientos;1987
1757;A los que aman;1998
1758;A metade da vida;1994
1759;A mi querida mamá;1978
1760;A mí quién me manda meterme en esto;1997
1761;A mí qué me importa que explote Miami;1976
1762;A pagar en destino;1999
1763;A repesca;1995
1764;A solas contigo;1990
1765;A Star Too Far;1993
1766;A tiro limpio;1996
1767;A todo tren;1995
1768;A un dios desconocido;1977
1769;A Violeta;1999
1770;Aberraciones sexuales de un diputado;1982
1771;Aberraciones sexuales de una mujer casada;1981
1772;Abierto (El eco del tiempo);1997
1773;Abono fértil;1998
1774;Abortar en Londres;1977
1775;Abran las puertas;1995
1776;Abre los ojos;1997
1777;Abuelitos;1999
1778;Abuelo, le secret de mon grand-père;1997
1779;Acampada;1998
1780;Acción mutante;1993
1781;Acosada;1985
1782;Acto de posesión;1977
1783;Actos Recíprocos;1997
1784;Actrius;1997
1785;Acueducto de Segovia;1985
1786;Adagio para una estrella;1978
1787;Adamo ed Eva, la prima storia damore;1983
1788;Adela;1987
1789;Adeus Princesa;1992
1790;Adiós Alicia;1977
1791;Adiós Naboelk;1995
1792;Adiós pequeña;1986
1793;Adiós prisión;1996
1794;Adiós Toby, adiós;1995
1795;Adiós, Eva, te quiero;1999
1796;Adiós, princesa;1999
1797;Adiós, querida mamá;1980
1798;Adiós, tiburón;1996
1799;Adolescencia;1982
1800;Adorables mentiras;1992
1801;Adosados;1996
1802;Adulterio a la española;1976
1803;Adulterio nacional;1982
1804;Adão e Eva;1995
1805;Afonía;1996
1806;Aftermath;1994
1807;Agata, les lectures ilimitades;1992
1808;Agobiado y distraído en un motel de carretera una calurosa noche de primavera con seis preguntas y tres muertos;1999
1809;Agujetas en el alma;1998
1810;Agulla Negra de Peuterey. Una catedral de roca en la vessant del Mont Blanc;1981
1811;Agur, agur;1978
1812;Agur, Txomin;1981
1813;Agurra;1996
1814;Agítese antes de usarla;1983
1815;Ah sì? E io lo dico a Zzzzorro!;1975
1816;Ahmed, el principe de la Alhambra;1998
1817;Ahora mis pistolas hablan;1986
1818;Ai man niu huo bing gong fu liang;1982
1819;Ainsi soient-elles;1995
1820;Airbag;1997
1821;Airiños;1976
1822;Així sacaba la vida i comencem a sobreviure;1981
1823;Això no és una pel·lícula;1991
1824;Ajoi;1999
1825;Akelarre;1984
1826;Akixo;1989
1827;Al acecho;1988
1828;Al Andalus;1989
1829;Al caer la tarde;1998
1830;Al cielo de Madrid;1981
1831;Al este del oeste;1984
1832;Al filo del hacha;1988
1833;Al fin solos, pero...;1977
1834;Al final del riu;1999
1835;Al fútbol;1975
1836;Al lado del Atlas;1994
1837;Al límite;1997
1838;Al margen;1999
1839;Al Mayurka;1980
1840;Al oeste de Río Grande;1983
1841;Al otro lado del túnel;1994
1842;Al servicio de la mujer española;1978
1843;Al sur de Gran Canaria;1976
1844;Al sur del edén;1982
1845;Al-Andalus: las artes islámicas en España;1992
1846;Alarde de San Marcial;1975
1847;Alas de mariposa;1991
1848;Alaska-McKinley 6.194 meters. La muntanya polar;1987
1849;Alcalde por elección;1976
1850;Alcamir;1983
1851;Alcoy;1976
1852;Alegre ma non troppo;1994
1853;Alejandra, mon amour;1979
1854;Alfombras de Crevillente;1975
1855;Alfonso Sánchez;1980
1856;Algo así;1977
1857;Alias La Gringa;1991
1858;Alice et Martin;1998
1859;Alicia;1994
1860;Alicia en la España de las maravillas;1979
1861;Alien Predator;1985
1862;Allanamiento de morada;1998
1863;Alma gitana;1996
1864;Alsasua 1936;1994
1865;Alto Tajo;1976
1866;Alvaro, mi niño;1994
1867;Always Clara;1997
1868;Alya;1997
1869;Al·lèrgic Film;1986
1870;Ama Dablam. La muntanya sagrada dels Xerpes;1981
1871;Amanece como puedas;1988
1872;Amanece, que no es poco;1989
1873;Amaneció de golpe;1998
1874;Amantes;1991
1875;Amarga amargura;1986
1876;Ambiciosa;1976
1877;Amelia Lópes ONeill;1991
1878;Amic/Amat;1999
1879;Amigo;1980
1880;Amigos;1998
1881;Amo tu cama rica;1992
1882;Amor casi... libre;1976
1883;Amor de hombre;1997
1884;Amor de madre;1999
1885;Amor digital;1996
1886;Amor e Dedinhos de Pé;1992
1887;Amor en off;1992
1888;Amor propio;1994
1889;Amor serrano;1999
1890;Amore vuol dir gelosia;1975
1891;Amore, piombo e furore;1978
1892;Amores que matan;1996
1893;América;1991
1894;Ana manuscrito;1980
1895;Ana y los Davis;1994
1896;Ancien Regim;1994
1897;Andaduras de Don Quijote (La Mancha IV);1978
1898;Andalucía chica;1988
1899;Ander Eta Yul;1988
1900;Andrea;1996
1901;Andrologia;1998
1902;Andújar y su Virgen de la Cabeza;1981
1903;Angel;1999
1904;Angelitos;1993
1905;Angustia;1987
1906;Animales devoradores: El hombre;1997
1907;Animales racionales;1983
1908;Animarathon;1984
1909;Animia de cariño;1996
1910;Aniversario;1996
1911;Anta mujer;1976
1912;Antes del beso;1993
1913;Antisalmo;1976
1914;Antonieta;1982
1915;Antonio, Jorge y Luís;1998
1916;Antártida;1995
1917;Apaga... y vámonos;1981
1918;Apocalipsis sexual;1982
1919;Apocalypse domani;1980
1920;Aquarium;1975
1921;Aquel ritmillo;1995
1922;Aquella casa en las afueras;1980
1923;Aquellas Navidades;1997
1924;Aquesta nit o mai;1992
1925;Aquí hacemos los sueños realidad;1995
1926;Aquí huele a muerto... (¡pues yo no he sido!);1990
1927;Aquí llega Condemor, el pecador de la pradera;1996
1928;Aquí, el que no corre... vuela;1992
1929;Araña y cierra España;1976
1930;Argeles;1978
1931;Armada 76;1978
1932;Arquitectura en la Costa del Sol;1976
1933;Arquitectura para después de una guerra;1978
1934;Arrebato;1980
1935;Arrebatos;1998
1936;Arri, arri;1976
1937;Arriba Hazaña;1978
1938;Arrivederci Roma;1990
1939;Ars;1998
1940;Arte actual U.S.A.;1978
1941;Arte de agricultura;1976
1942;Arte del tejido en el antiguo Perú;1976
1943;Arte precolombino en el Perú;1976
1944;Artesanos;1976
1945;Arturo Gámez;1993
1946;Arturo y el abismo;1991
1947;As aventuras do capitán Hixiénico;1992
1948;As xoias da señora Bianconero;1994
1949;Asaltar los cielos;1999
1950;Asalto a las tullerías;1980
1951;Asalto al Banco Central;1983
1952;Asalto al casino;1981
1953;Asamblea Nacional de Turismo;1975
1954;Ascendente;1999
1955;Ascensor;1978
1956;Asesinato en el Comité Central;1982
1957;Asesino, asesino;1999
1958;Asia: Terra isolita;1977
1959;Asignatura aprobada;1987
1960;Asignatura pendiente;1977
1961;Asturias, sus gentes, sus cosas;1975
1962;Asturias, sus gentes, sus cosas: La mar;1975
1963;Asunto interno;1996
1964;Así como habían sido;1987
1965;Así en el cielo como en la tierra;1995
1966;Así es la vida;1976
1967;Atacadas;1995
1968;Atapuerca: El misterio de la evolución humana;1997
1969;Ataque verbal;1999
1970;Atascos, S.A.;1998
1971;Ataxia;1991
1972;Atilano, presidente;1998
1973;Atlántico Express;1993
1974;Atlántida (El mundo de Manuel de Falla II);1978
1975;Atolladero;1995
1976;Atraco a sexo armado;1980
1977;Atraco en la jungla;1976
1978;Atrapado;1983
1979;Atrapados en el miedo;1985
1980;Atur;1978
1981;Atómica;1998
