;name;gender
10863;de Warzee, Michel;m
10864;Abeille, Claude;
10865;Biernawska-Teslawska, Magdalena;
10866;Carr, Kaline;f
10867;Chénieux, Pierre-Laurent;
10868;Cowan, Richard;m
10869;Cvijanovic, Zoran;m
10870;Dubosc, Catherine;f
10871;Dubus, Marie-Sophie;
10872;Dujovic, Vladan;m
10873;Dvigubsky, Nikolai;m
10874;Felba, Dragomir;m
10875;Fish, Mahew Adam;m
10876;Forest, Delphine;f
10877;Gavrik, Vlastimir;m
10878;Gedda, Nicolai;m
10879;Jaroszewicz, Andrzej;m
10880;Lefort, Bernard;m
10881;Miller, Lajos;m
10882;Mussorgsky, Modest;
10883;Pisani, Anne-Marie;f
10884;Plishka, Paul;m
10885;Polozov, Wyatscheslaw;m
10886;Pushkin, Alexander;
10887;Raimondi, Ruggero;m
10888;Riegel, Kenneth;m
10889;Savic, Vukasin;m
10890;Slabý, Pavel;m
10891;Storojew, Nikita;m
10892;Tesarowicz, Romuald;m
10893;Toscan du Plantier, Daniel;m
10894;Vishnevskaya, Galina;f
10895;Vlaisavljevic, Andjelija;
10896;Zeremski, Branislav;m
10897;Zulawski, Andrzej;m
10898;Atanes, Carlos;m
10899;Iniesta, Alex;
10900;Martín, Laia;f
10901;Palma, Núria;f
10902;Viñes, Lidia;f
10903;Vladimir, Antonio;m
10904;Llach, Lluís;m
10905;Lyberten, Eva;f
10906;Calero, Asunción;f
10907;García, Juan Antonio;m
10908;Green, Lorna;f
10909;Kier, Alfredo;m
10910;Aguilar, Milagros;f
10911;Day, Carol;m
10912;Matos, Paola;f
10913;Pérez Tabernero, Julio;m
10914;Sanz, Maika;f
10915;Zamba, Flor;f
10916;Álvarez, Elena;f
10917;Arecnavaleta, Verónica;f
10918;Figueroa, Diego;m
10919;Mateos, Manuel;
10920;De La Sierra, Pau;m
10921;Agnew, Iain;m
10922;Anthony, Anna;
10923;Asmussen, Peter;
10924;Barr, Jean-Marc;m
10925;Bateson, David;m
10926;Bensted, Peter;m
10927;Bonnén Rask, Kirsten;
10928;Brand, Douglas;
10929;Burt, Stephen;
10930;Cartlidge, Katrin;f
10931;Cross, Louise;
10932;Cuthbertson, Callum;m
10933;Daae, Linda;f
10934;Docherty, Bob;m
10935;Dod Mantle, Anthony;m
10936;English, Tony;
10937;Gallacher, David;m
10938;Gaup, Mikkel;m
10939;Giannetta, Charlotte;
10940;Gislason, Tómas;m
10941;Goodwin, John;
10942;Gudgeon, Sarah;f
10943;Hackett, Jonathan;m
10944;Hammer, Christel;
10945;Hansen, Jens Georg;
10946;Hartzberg, Else;
10947;Heisterberg, Rasmus;m
10948;Helgeland, Axel;
10949;Holm, Casper;m
10950;Jeffries, Ray;m
10951;Jensen, Peter Aalbæk;m
10952;Jongdahl, Henrik;m
10953;Jorfaid, Simon Towler;m
10954;Jönsson, Lars;
10955;Júlíusson, Karl;m
10956;Kavanagh, Owen;m
10957;Kearney, Charles;m
10958;Kier, Udo;m
10959;Kleener, Morten;
10960;Knudsen, Peter Øvig;m
10961;Køj, Ann;
10962;Langestraat, Rob;
10963;Leach, Steven;m
10964;MacLean, Christine;
10965;MacNaughton, Elspeth;f
10966;Mackay, Christina;
10967;Mailand-Hansen, Nanna;
10968;Maurel, Damien;
10969;McCall, Phil;m
10970;McKellaig, Ronnie;m
10971;Mitchell, Gavin;m
10972;Müller, Robby;m
10973;Norrekjær, Ghita;
10974;ODonnell, Anthony J.;m
10975;Palmquist, Hanne;
10976;Pedersen, Charlotte;
10977;Pfeiffer, Tine Grew;
10978;Pirie, David;m
10979;Raeburn, Peter;
10980;Ragas, Roef;m
10981;Rasmussen, Manon;f
10982;Rasmussen, Ricki;m
10983;Rawlins, Adrian;m
10984;Refn, Anders;m
10985;Reiermann, Niels;
10986;Reilly, Desmond;m
10987;Riddoch, Janet;
10988;Robertson, Robert;m
10989;Ryan, William;
10990;Rømer, Dorte;f
10991;Selin, Nynne;f
10992;Skarsgård, Stellan;m
10993;Skov, Birgitte;
10994;Slot, Marianne;
10995;Smith, Brian;m
10996;Sydenham, Jonathan;
10997;Vinther, Charlotte;
10998;Voe, Sandra;f
10999;Vognsen, Ann;
11000;Wark, John;m
11001;Watson, Emily;f
11002;Weinold, Glenn;
11003;Wejlgaard, Grethe;
11004;Welsh, Finlay;m
11005;Wilder, David;
11006;Windeløv, Vibeke;f
11007;van Vogelpoel, Peter;
11008;von Trier, Lars;m
11009;Boixaderas, Jordi;m
11010;Casas, Montserrat;
11011;Gil, Laura;
11012;González Biestro, Raúl;
11013;Piñeyro, Manolo;m
11014;Pluvinet, Daniel;m
11015;Pluvinet, Dolors;f
11016;Taeger, Urs;
11017;Benpar, Carlos;m
11018;Pacareu, Alicia;f
11019;Baños, María Victoria;f
11020;Isasi Jr., Antonio;
11021;Isasi, Teresa;
11022;Ochoa, Víctor;m
11023;Barceló, José Luis;m
11024;Delgado, Estela;f
11025;Soto, Enrique;m
11026;Carvajal, Beatriz;f
11027;Fernández Armero, Álvaro;m
11028;Hita, Felipe;m
11029;Martin, Luigi;m
11030;Plaza, Julio de la;m
11031;Poseck, Eugenia;f
11032;Prieto, Adriano;m
11033;Ramos Paíno, José;m
11034;Roela, Pilar;
11035;Tabar, Juan;m
11036;Alfaya, Consuelo;
11037;Loreto, Alexia;f
11038;Sitton, Sally;f
11039;Tabernero, Juan;m
11040;Andreu, Cristina;f
11041;Bosé, Lucia;f
11042;Dominguín, Paola;f
11043;Lluch, Barbara;f
11044;Soriano, Nacho;
11045;Barón, José;
11046;Paisa, Marta;
11047;Gálvez, Rubén;m
11048;Hidalgo, Carla;f
11049;Mas, Tomás;
11050;Ney, Aramis;m
11051;Rebanal, Fernando;m
11052;Snelling, Penélope;f
11053;Brustenga, Jaime;m
11054;Llanos Callado, Mary;f
11055;Martínez, Juan Carlos;m
11056;Martínez, Manuel Ángel;m
11057;Martínez, Mateo;m
11058;Ortuño, Alejandro;m
11059;Ponce, José;m
11060;Ruíz, Magdalena;f
11061;Saiz, Jesús;m
11062;Siles, Begoña;f
11063;Vicente, Pedro;m
11064;de Gea, Gabriel;m
11065;Arteta, Iñaki;
11066;Basterra, Eduardo;
11067;Bourgeaud, Gaizka;
11068;Díaz, Aberto;
11069;Díaz, Alberto;m
11070;Echevarria, Begoña;f
11071;Gutierrez, Aitor;m
11072;Lanza, Pedro L.;
11073;Marsh, Denise;
11074;Benet, Jaime;m
11075;Bilbao, Fernando;m
11076;Cristóbal, Ángela;
11077;Fenollar, Astrid;f
11078;Lapardi, Félix;
11079;Mejuto, Andrés;m
11080;Navarrete, Eduard;m
11081;Redondo, Rosa;f
11082;Rodero, José Ángel;
11083;Valero, Miguel Ángel;m
11084;Bayo, Montse;f
11085;Blakey, Michael;m
11086;Cabanell, Raúl;m
11087;Dhazouli, Habib;m
11088;Flores, María;f
11089;María, Belén;f
11090;Palencia, Manuel;m
11091;Rovira, Enrique;m
11092;Insua, Miguel;m
11093;Martínez, Pep;m
11094;Soriano, Gloria;
11095;Valera, Marian;f
11096;Zayas, Lluís;
11097;Braña, Frank;m
11098;Campoy, Anastasio;m
11099;Carati, Lilli;f
11100;Colangeli, Otello;
11101;Enciso, Alejandro de;m
11102;Ferrer, Mel;m
11103;Fontana, Bruno;
11104;Forqué, José María;m
11105;Merli, Maurizio;m
11106;Siragusa, Gianni;m
11107;Amrani, Hassan;m
11108;Martin, Juan Carlos;m
11109;Martín, José Mariano;
11110;Montero, Charo;f
11111;Raxen;
11112;Rodero, Rodrigo;m
11113;Triana, Tele;f
11114;Aguiar, Edmundo;m
11115;García Ríos, Pedro;
11116;López de Guereña, Javier;m
11117;Montero, Rodolfo;m
11118;Bacalov, Luis;m
11119;Cavallo, Victor;m
11120;Corrà, Teodoro;m
11121;Guerra, Tonino;m
11122;Guerrini, Pietro;m
11123;Lari, Romina;f
11124;Liguori, Cristiana;f
11125;Lozano, Margarita;f
11126;Luberti, Lamberto;m
11127;Malet, Pierre;m
11128;Manzotti, Achille;m
11129;Pagliarini, Simone;m
11130;Poscetti, Anna;
11131;Pozzetto, Renato;m
11132;Ricci, Elena Sofia;f
11133;Saragò, Raffaello;
11134;Schulberg, Stephan;m
11135;Solda, Maurizio;m
11136;Sánchez, José María;m
11137;Vulpiani, Mario;m
11138;Blasco, Sergio;
11139;Casado, Juan J.;m
11140;Cuellar, Javier;m
11141;Garcia, Juan;m
11142;Miralles, Manolo;m
11143;Reyes, Conchi;m
11144;Buría, Lázaro;
11145;Faria, Lázaro;
11146;Santos, Elaine;
11147;Santos, Luz Elaine;
11148;Cabal, Ignacio;
11149;Dauss, Enrique;m
11150;García Alonso, Maruja;f
11151;Hidalgo, Eduardo;
11152;Lacoma, Jose Maria;m
11153;Lezcano, Mercedes;f
11154;Medina, Yolanda;f
11155;Mendy, Carlos;m
11156;Menéndez, Rosa;f
11157;Robles, Pepe;
11158;Santurio, Carlos;m
11159;Senante, Caco;m
11160;Sánchez, Luis A.;m
11161;Barros, José Luis;m
11162;Bilbatúa, Ángel;
11163;Buñuel, Conchita;f
11164;Buñuel, Jeanne;f
11165;Buñuel, Juan Luis;m
11166;Buñuel, Luis;m
11167;Buñuel, Margarita;f
11168;Cortés, Rafael;
11169;Fellini, Federico;m
11170;Huici, Fernando;m
11171;Huston, John;m
11172;Lary, Pierre;m
11173;Maldonado, Luis;
11174;Mindán, Padre Manuel;m
11175;Márquez, Bienvenido;
11176;Pablo, Padre Julián;m
11177;Paz, Octavio;m
11178;Silberman, Serge;m
11179;Sáenz de Heredia, José Luis;m
11180;Viñes, Hernando;m
11181;Acacio, Vicente;
11182;Buale, Emilio;m
11183;Cebrián, José;
11184;Cobo, Luis Miguel;
11185;Cordón, Félix;
11186;Escudero, Fernando;
11187;Ferrández Hernández, Carlos;
11188;Granero, Andrea;f
11189;Guillén, Rafael;
11190;Gutiérrez, Máximo;
11191;Gómez López, José;
11192;Luna, Rafael;m
11193;Martínez, Alejandro;m
11194;Martínez, Begoña;m
11195;Martínez, Ángel;m
11196;Matías Herrero, Juan Mauricio;
11197;Molinero, Custodio;
11198;Nang, Santiago;m
11199;Pino, Francisco;
11200;Quero, José;m
11201;Rodríguez Fenoy, Luis;
11202;Rodríguez, Antonio;m
11203;Rodríguez, Luis;m
11204;Rodríguez, Manuel;m
11205;Sanchís, Helena;f
11206;Sastre, Bonifacio;
11207;Teigell, Enrique;
11208;Yuste, Rafael;m
11209;Amicucci, Gianfranco;
11210;Bandera, Manuel;m
11211;Berquini, Lilli;f
11212;Bossi, Bruna;f
11213;Caprara, Gualtiero;
11214;Conversi, Fabio;
11215;Dalla, Lucio;m
11216;Dionisi, Stefano;m
11217;Ekberg, Anita;f
11218;Flauto, Luca;m
11219;Frugoni, Cesare;
11220;Gutiérrez, Mercedes;
11221;Iuorio, Antonino;m
11222;Lombardi, Francesco Ghibli;m
11223;Luna, Arsenio;m
11224;Marmion, Yves;m
11225;Mendicini, Carlo;m
11226;Perugorría, Jorge;m
11227;Poccioni, Marco;
11228;Valsania, Marco;
11229;González de Canales, Fernando;
11230;Guisán, Juan;m
11231;Gómez Bur, Manolo;m
11232;Salas, Fernando;m
11233;Alessandro, Bruno;m
11234;Alpi, Roberto;m
11235;Baralla, Fiammetta;f
11236;Bonos, Luigi;m
11237;Boraschi, Cristina;f
11238;Bordone, Beatrice;
11239;Brialy, Jean-Claude;m
11240;Caprio, Mino;m
11241;Cascio, Salvatore;m
11242;Clemente, Gino;m
11243;Coscia, Marcello;
11244;Cristaldi, Franco;m
11245;Curreri, Leonardo;
11246;Di Marzio, Isa;f
11247;Diogene, Franco;m
11248;Emidi, Giovanna;
11249;Fionatelli, Micaela;f
11250;Forlani, Rémo;m
11251;Invernizzi, Franca;
11252;Jandolo, Flaminia;f
11253;Lopez, Giorgio;m
11254;Lucherini, Enrico;m
11255;Maimone, Antonio;m
11256;Mariano, Detto;m
11257;Mazza, Laura;
11258;Montandon, Pietro;m
11259;Nobile, Roberto;m
11260;Onorato, Marco;m
11261;Perla, Massimo;
11262;Pietrangeli, Nicola;m
11263;Pignatelli, Micaela;f
11264;Pischedda, Leonardo;
11265;Rovere, Gina;f
11266;Stacchi, Renzo;m
11267;Tessari, Duccio;m
11268;Tiberi, Alessandro;m
11269;Ustinov, Peter;m
11270;Vanorio, Franco;m
11271;Velasco, Mahnahén;m
11272;Verdirosi, Serenella;f
11273;Assandri, Giacomo;m
11274;Crivello, Guerrino;m
11275;Crocitti, Vincenzo;m
11276;Delgado, Luis María;m
11277;Folgar, Jesús R.;
11278;Giorgi, Claudio;m
11279;Hidalgo, Vanessa;f
11280;Micozzi, Susanna;
11281;Montagnani, Renzo;m
11282;Turina, Luciana;f
11283;Umiliani, Piero;
11284;Ares, Andrés;m
11285;Barja, María José;f
11286;Barjas, Maxo;f
11287;Casanova, Xepe;m
11288;Castro, Luis;m
11289;Chamón, Beatriz;
11290;Fandiño, María;f
11291;Linares, Pepe;m
11292;Ortiz, Diego;
11293;Pazos, Eugenio;
11294;Soler, José Carlos;
11295;Soto, Pepe;m
11296;Varela, Miguel;m
11297;Aguilar, José Luis;
11298;Barragán, Ramón;m
11299;Carrillo, Alejandro;m
11300;Castañón, Carlos;m
11301;Chávez, Antero;m
11302;Cházaro, Adyari;f
11303;Cobo, Roberto;m
11304;Cruz, Rafael;m
11305;Dorantes, Juana;f
11306;Durán, Gerardo;m
11307;Echevarría, Nicolás;m
11308;Echánove, Josefina;f
11309;Escobar Villarreal, Javier;m
11310;Figueroa, Tolita;
11311;Flores, Armando;m
11312;Flores, José;m
11313;Gorson, Arthur;m
11314;Guzmán, Adriana;f
11315;Hernandez, Chico;m
11316;Lavista, Mario;m
11317;Leyton, Ivonne;f
11318;López, Santiago;m
11319;Machuca, Eli Chupadera;m
11320;Martinez, Geraldo;m
11321;Martín del Campo, Víctor Hugo;m
11322;Mejía Barón, Alfredo;m
11323;Navarro, Bertha;f
11324;Navarro, Guillermo;m
11325;Nunez Cabeza de Vaca, Alvar;
11326;Poncelis, José Manuel;m
11327;Rivas, Rosina;
11328;Robles, Xavier;m
11329;Salcedo, Víctor Hugo;m
11330;Salinas, José;m
11331;Sanders Alcántara, Gisela;f
11332;Santoyo, Jorge;m
11333;Serbulo, Mayra;f
11334;Sheridan, Guillermo;m
11335;Solórzano Foppa, Julio;m
11336;Sánchez Duarte, Juan;m
11337;Sánchez, Gerardo;m
11338;Sánchez, Jorge;
11339;Sánchez, Sara Iliana;f
11340;Tamayo, Alejandro;m
11341;Téllez, Héctor;m
11342;Villa, Isreal;m
11343;Villarreal, Dulce María;f
11344;Villarreal, Gerardo;m
11345;Woolrich, Abel;m
11346;Yoldi, Óscar;m
11347;Zepeda, Nayelli;f
11348;de Bernal, Farnesio;m
11349;Alarcón, José María;m
11350;Almodóvar, Cristino;m
11351;Asunción, José Luis;m
11352;Bastedo, Alexandra;f
11353;Cortés, Juan;m
11354;García Morcillo, Fernando;m
11355;Haro, Concepción;f
11356;Huerta, Deogratias;m
11357;Loren, Alejo;m
11358;Monge Serranito, Víctor;m
11359;Muñoz, Pilar;f
11360;Pellicer, Coral;f
11361;Pondal, Mary Paz;f
11362;Queseda, María Rosa;f
11363;Robledo, Lorenzo;m
11364;Salvador, Tomás;
11365;Tundidor, Ricardo;m
11366;del Carmen Pérez, María;f
11367;Crego, Alba;f
11368;Frías, Israel;m
11369;García Arrojo, Ricardo;m
11370;González, Xiomara;
11371;Morales, Javier;m
11372;Mínguez, Elvira;f
11373;Pascual, May;f
11374;Rodríguez, Ruth;f
11375;Rose, Rachel;f
11376;Sayago Ayuso;m
11377;Suárez Alba, Kike;
11378;Sánchez León, José;
11379;Tamayo, Raquel;
11380;Velasco, Manuel;m
11381;de la Vega, Carmen;f
11382;Amat, Jorge;m
11383;Bernuy, Belén;f
11384;Díaz Moreno, Daniel;m
11385;Alonso, Enrique;m
11386;Ayala, Fernando;m
11387;Basaldua, Emilio;
11388;Berliner, Max;m
11389;Bertotto, María Julia;
11390;Biral, Thelma;f
11391;Borges, Jorge Luis;m
11392;Camero, Juan José;m
11393;Charol, Rey;m
11394;Desanzo, Juan Carlos;m
11395;Fernández, Cristina;f
11396;Gutiérrez, José María;m
11397;Iglesias Tacholas, Fernando;m
11398;Lamas, Juan Carlos;m
11399;Laserre, Noemí;f
11400;Lavié, Raúl;m
11401;Mónaco, Antonio;m
11402;Olivera, Héctor;m
11403;Onetti, Juan Carlos;m
11404;Piaggio, Carlos;
11405;Piruzanto, Óscar;
11406;Repetto, Luis Osvaldo;
11407;Rodríguez, Ariel;
11408;Trigo, Ricardo;m
11409;Villalba, Jorge;m
11410;Beltrán, Ángel;
11411;García del Val, Ángel;m
11412;Gómez Gras, Lourdes;
11413;Cacho, Antoni;m
11414;Cano, Núria;f
11415;Cavallín, Andrés;m
11416;Descals, Rut;f
11417;Lucchetti, Maria;f
11418;Mariné, Mercè;f
11419;Moreno, Anabel;f
11420;Peroy, Lidia;f
11421;Rebés, Andreu;
11422;Romaní, Joan Pau;m
11423;Romero, Arturo;m
11424;Sarraute, Jorge;m
11425;Treig, Bautista;
11426;Bernal, Carlos;m
11427;Fernández, Félix;m
11428;Ortega, Guillermo;m
11429;Salamanca, Marisa;f
11430;Burgaleta, Asier;
11431;Campos, Juan;m
11432;Cano, Xavi;
11433;Castillo, Tola;
11434;De Sande, Félix;
11435;Fauria, Joaquín;
11436;Galofré, Álex;m
11437;López, Gemma;
11438;Ollé, Miriam;
11439;Pastor, Diego;m
11440;de Pablo, Flaviano;
11441;Polo, Miguel Ángel;
11442;Alaez, Paloma;f
11443;Cristóbal, Juanita;f
11444;Garcimartín, Javier;m
11445;Hernández, Cuca;f
11446;James, Carole;f
11447;Morales, José Luis;m
11448;Muñoz, María José;f
11449;Pamos, Fernando;m
11450;Real, Pedro del;
11451;Reinlein, Fernando;m
11452;Sanmartín, Lucía;f
11453;Aledo, Polo;
11454;Otero, Fran;
11455;Prego, Chus;m
11456;Taboada, Teresa;f
11457;de Santiago, Antón;m
11458;Amendola, Ferruccio;m
11459;Antonelli, Franco;
11460;Avram, Chris;m
11461;Bucceri, Franco;m
11462;Caltabiano, Alfio;m
11463;DAmico, Elvira;
11464;DellAcqua, Alberto;m
11465;Ducci, Nico;
11466;Felleghy, Tom;m
11467;Ferri, Rafael;
11468;Ferrio, Gianni;
11469;Fiermonte, Enzo;m
11470;Gentili, Carlo;m
11471;Ghia, Dana;f
11472;Harmstorf, Raimund;m
11473;Leri, Piero;m
11474;Longo, Malisa;f
11475;Lorys, Diana;f
11476;Lupo, Michele;
11477;Magalotti, Paolo;m
11478;Menichini, Alfio;
11479;Morgia, Piero;m
11480;Murolo, Ferdinando;m
11481;Novelli, Mario;m
11482;Roli, Mino;m
11483;Simi, Carlo;m
11484;Undari, Claudio;m
11485;Zamperla, Nazzareno;m
11486;Zita, Antonietta;
11487;Andrews, Anthony;m
11488;Casas, Antonio;m
11489;Fleming, Lone;f
11490;Fos, Antonio;
11491;Molero, Francisco;
11492;ONeill, Jennifer;f
11493;Abraham, Paloma;f
11494;Abrola, Yolanda;f
11495;Alfonso, Gerardo;m
11496;Alzola, Yolanda;f
11497;Aramburuzabala, Mikel;
11498;Berrocal, Leire;f
11499;Beusaire, Olivia;f
11500;Bilbao, Endika;
11501;Cabrera, Frank;
11502;Cepero, Raúl;m
11503;Cowley, Conrado;m
11504;Del Río, Ernesto;
11505;Díaz, María Isabel;f
11506;Echemendia, Héctor;m
11507;Goikoetxeta, Iñaki;
11508;Gómez, Elena;
11509;Hernández, Sonia;
11510;Herrera, Natalia;f
11511;Ibarrola, José;
11512;Laferté, Nieves;
11513;Llantada, Ana Isabel;
11514;Llantada, Silvia;
11515;Loquines, Jorge;
11516;López, Miguel Ángel;
11517;López, Tania;
11518;Marcos, José R.;m
11519;Marisi, Adrián;m
11520;Marín, Bárbaro;m
11521;Merino, Begoña;
11522;Morales, Tamara;f
11523;Márquez, Elba;f
11524;Nápoles, Iván;
11525;Painter, Bob;
11526;Pomares, Raúl;m
11527;Pérez, Isachi;f
11528;Salaverri, María Eugenia;f
11529;Téllez, Juan Carlos;
11530;Urioste, Ricardo;
11531;Vargas, Guillán;f
11532;Varona, Juan;
11533;Vives, Camilo;
11534;del Río, Benito;
11535;Álvarez Rios, María;f
11536;Álvarez, Liz;
11537;Álvarez-Buhilla, Kike;
11538;Acereto, David;
11539;Gonzalvo, Angel;
11540;Martín, Julián;
11541;Mercerón, Ludmila;f
11542;Blanc, Felicidad;f
11543;Carrión, Gloria;
11544;Heredia, Pilar;f
11545;Llopis, Antonio;m
11546;Losada, Juan F.;m
11547;Moner, Beltrán;
11548;Motos, Ramón;m
11549;Noreña, Juan;
11550;Ortiz, Nicéforo;
11551;Pilaces, Ramón;m
11552;Pont, Florentino;
11553;Pueyo, Vicente del;
11554;Reyes;
11555;Serrano, Marisol;f
11556;Serrano, Miguel;m
11557;Velilla, Javier;
11558;Borau, José Luis;m
11559;Fadón, Manuel;m
11560;Gutiérrez Aragón, Manuel;m
11561;Jacoste, José G.;
11562;Manchón, Manuel F.;
11563;Alonso, Lola;f
11564;Ballesta, Tete;m
11565;Bayón, Roberto;m
11566;García-Sampedro, Juan Carlos;
11567;Laguna, Pedro;m
11568;Medrano, Laura;f
11569;Paniagua, Victoria;f
11570;Rico, Juan;m
11571;Rodríguez Egurrola, Conchi;
11572;Ruiz, Luisa;f
11573;Sampedro, Iñaki;m
11574;San Andrés, Jesús;m
11575;Serrano, Augusto;m
11576;Tamallo, Carmele;f
11577;Tanito;m
11578;Willy;m
11579;Úbeda-Portugués, Alberto;m
11580;Almendros, Néstor;m
11581;Bautista, Maricel;
11582;Frigola, Carlos;m
11583;Gas, Manuel;m
11584;Learco;
11585;Margot;m
11586;Vilasaló, José Antonio;m
11587;Vitoria, Asunción;f
11588;Yzquierdo, Pelayo;
11589;Chuscales;m
11590;Cortés, Paco;m
11591;Cuevas El Piki, Antonio;m
11592;Heredia, José María;
11593;Maya, Mario;m
11594;Ter, Ángel;m
11595;Vargas, Concha;f
11596;Almonacid, Esmeralda;
11597;Bemberg, María Luisa;f
11598;Berco, Roxana;f
11599;Busaid, Alberto;m
11600;Catalano, Lidia;f
11601;Colunga, Alejandra;f
11602;Coria, Martín;m
11603;DAngiolillo, Luis César;
11604;Docampo Feijóo, Beda;f
11605;Facello, Abel;
11606;Gallardou, Claudio;m
11607;Galán, Graciela;
11608;Gueñol, Zelmar;m
11609;Hacker, Jorge;m
11610;Leyrado, Juan;m
11611;Madanes, Cecilio;m
11612;Marchi, Carlos;m
11613;Marcial, Alejandro;m
11614;Maris, Mona;f
11615;Muñoz, Carlos;m
11616;Nuñez, Oscar;m
11617;Ochoa, Jorge;m
11618;Pecoraro, Susú;f
11619;Pellegrini, Héctor;m
11620;Reguerraz, Jean Pierre;m
11621;Rubaja, Boris;m
11622;Serra, Luis María;
11623;Stagnaro, Juan Bautista;m
11624;Stantic, Lita;
11625;Tasisto, Elena;f
11626;Tenuta, Juan Manuel;m
11627;Muguiro, Carlos;
11628;Font, José Luis;m
11629;Pader, José;
11630;Arias, Laura;
11631;Carrión, Carmen;f
11632;White, Daniel;m
11633;Bernardez, Carlos A.;
11634;Colomé, Héctor;m
11635;Mallorquí, Eduardo;
11636;Pérez Tristán, José Luis;
11637;Fortuny, José M.;m
11638;Gutiérrez, Mara;f
11639;Ríos, Carlos L.;
11640;Ferrer, Adriana;f
11641;Morón, Manuel;m
11642;Pereira, Javier;m
11643;Rosado, Lorena;f
11644;González, Sergio;m
11645;Guirao, José;m
11646;Parejo, Nonio;
11647;Batalla, Roser;f
11648;Canals, Paula;m
11649;Escalona, Guillermo;m
11650;Gaultier, Alex;
11651;Tápies, Guillermo;
11652;Zurita, Julio;m
11653;Amaya, Carmen;f
11654;Argentina, Imperio;f
11655;Cuadra, María;f
11656;Díaz, Marujita;f
11657;Farina, Rafael;m
11658;Fernández, Nani;m
11659;Foriscot, Emilio;m
11660;Irusta, Agustín;m
11661;La Polaca;f
11662;Leblanc, Tony;m
11663;Mistral, Nati;f
11664;Morales, María de los Ángeles;f
11665;Muráti, Lili;f
11666;Peña, Luis;m
11667;Piquer, Concha;f
11668;Reina, Juanita;f
11669;Rico, Paquita;f
11670;Rodero, José María;m
11671;Rodrigo, Luis;m
11672;de Celis, Lilián;f
11673;Alcaín, Alfredo;m
11674;Azaña, Manuel;m
11675;Blanco Vega, J.L.;
11676;Blanco, Enrique;
11677;Castro, Estrellita;f
11678;Churchill, Winston;m
11679;Cooper, Gary;m
11680;Dalí, Salvador;m
11681;Durán, Rafael;m
11682;Fontaine, Joan;f
11683;Garrido, Lolita;f
11684;Grant, Cary;m
11685;Hayworth, Rita;f
11686;Hitler, Adolf;m
11687;Isbert, José;m
11688;Kaye, Danny;m
11689;León, Valeriano;m
11690;Luna, Manuel;m
11691;Manolete;m
11692;Mariano, Luis;m
11693;María, Jesús de;
11694;Moro, José Luis;
11695;Morán, Manolo;m
11696;Mussolini, Benito;m
11697;Negrete, Jorge;m
11698;Palacio, Jorge;
11699;Perón, Eva;f
11700;Pétain, Philippe;m
11701;Rivelles, Amparo;f
11702;Rori;
11703;Stalin, Joseph;m
11704;Truman, Harry S.;m
11705;de Molina, Miguel;m
11706;Bermúdez, Xavier;m
11707;Corral, Agustín;
11708;Gil, Julia;f
11709;Ibiricu;
11710;Aguado, Dolores;f
11711;Balboa, Manuel;
11712;Jiménez, Carmen;m
11713;Lorente, Olvido;f
11714;Martínez Sierra, Gregorio;
11715;Massip, María;f
11716;Tébar, Rebeca;f
11717;Baltanás, Ángel María;m
11718;Pérez Climent, Eduardo;
11719;Quevedo, Nino;
11720;San José, Jesús;m
11721;Alba, Gema;f
11722;Cordero, Araceli;f
11723;Corrochano, Julio;m
11724;Gómez Sempere, Diego;
11725;Gómez, Amado;m
11726;López, Begoña;f
11727;Marce;m
11728;Martínez, Ignacio;
11729;Melero, Víctor;m
11730;Romero, María Rosa;f
11731;Truchado, José;m
11732;Vidal, Inda;m
11733;de Frutos, Sergio;m
11734;Benedicto, Sonsoles;f
11735;González, Luis Carlos;
11736;Casas, Àngel;m
11737;Cualberto;m
11738;Lole;f
11739;Molina, Manuel;m
11740;Sabatés, Jordi;m
11741;Sisa, Jaume;m
11742;Albarrán, Ricardo;
11743;Avilés, Miguel;m
11744;Cazorla, Manuel;m
11745;Delil, Werner;m
11746;Grey, Sara;f
11747;Heredia, Isabel;f
11748;Hermitte, Marianne;f
11749;Ibero, Marcel;m
11750;Martínez, Buenaventura;m
11751;Miró, Antonio;m
11752;Pérez Gallardo, Linda;f
11753;Rodríguez, Francisco;m
11754;Ruiz, Asunción;f
11755;Soler-Nou, Natalia;f
11756;Tobar, Cruz;m
11757;Rodri, Jaime;
11758;Aguirre, José Ramón;
11759;Aguirre, Moncho;
11760;Albares, Fernando;
11761;Gaos, Lola;f
11762;Goiricelaya, Aitor;
11763;Goirocelaya, Aitor;
11764;Revenga, Luis;m
11765;Acero, Gerard;m
11766;Agustí, Gabriel;m
11767;Barquero, Ginés;m
11768;Fernández, Iván;m
11769;Ferry, Mir;m
11770;Gil, Josep;m
11771;Jusmet, Robert;m
11772;Lindblom, Gunnel;f
11773;Lluch, Juan;m
11774;Mas, Josep;m
11775;Millán, Xavier;m
11776;Oliver, Maria Antònia;f
11777;Rubio, Víctor;m
11778;Vila, Tunet;m
11779;Cascales, José Antonio;
11780;Esparza, Luis Miguel;
11781;Ojea, Juan Vicente;
11782;Roldán, Carmen;f
11783;Ruiz Capillas, Isabel;
11784;Capuano, Giosy;
11785;Capuano, Mario;
11786;Cocca, Carla;
11787;Di Clemente, Giovanni;
11788;Giordana, Marco Tullio;m
11789;Lorenzi, Maria Cristina;
